colorfulness,sharpness,total_clip,saturation,noise,contrast,color_temp,ranking
13.5294,11.3099,1.0371,47.6961,2.2663,72.2961,5678.5410,0.0171
17.5366,2.9494,20.1195,34.8069,0.2350,84.6663,4153.5088,0.0086
80.2065,4.0038,46.5777,64.7495,0.0000,53.0610,4194.4990,0.0026
81.4136,4.7176,1.4753,211.3381,0.8174,41.0120,635.8118,0.0200
64.9575,6.5953,19.3840,88.1955,0.3910,54.6505,3442.9248,0.0169
32.4837,9.6325,11.0777,66.8411,0.9365,70.6156,4877.1483,0.0185
40.3495,5.1534,1.7577,61.3070,0.2697,85.8390,6221.4240,0.0069
97.3543,3.4537,3.0195,131.8335,0.4468,88.2513,5554.4103,0.0049
27.7300,14.4715,1.8259,52.8706,1.6453,74.2946,5429.9428,0.0065
52.3643,7.0552,1.1099,82.4630,0.5394,61.6916,5962.4623,0.0111
74.7684,8.1582,2.7159,134.5539,0.5990,56.5655,3434.0841,0.0118
124.6582,2.2637,1.9570,204.5883,0.1770,42.0485,4014.9586,0.0142
33.9398,5.8168,1.3484,56.5968,0.3105,72.1221,5896.7028,0.0049
58.7129,5.0429,2.9483,43.5218,0.1009,68.2340,6137.9720,0.0086
31.2193,2.1873,1.1487,109.2284,0.1936,67.1316,5528.9987,0.0211
40.7617,4.0942,1.1412,41.6756,0.0000,54.9060,6229.6813,0.0236
32.7112,13.0631,1.1926,75.4976,1.5797,64.6022,4969.4148,0.0047
19.8010,14.4791,22.0214,29.9001,1.7402,61.8531,5829.9438,0.0064
51.7820,4.9793,1.9125,95.5133,0.4694,70.6473,7385.9317,0.0010
70.6685,5.6840,2.3250,126.8015,0.5560,56.2201,4969.3061,0.0087
52.5684,7.2527,1.5302,111.1484,0.6155,68.1662,3620.8890,0.0114
54.3878,13.7893,1.1322,142.7626,1.9138,57.8173,2608.6866,0.0288
21.7319,7.6255,1.3332,54.3707,0.8267,76.5917,5849.4387,0.0140
34.3374,7.9444,1.5922,111.5021,0.5289,65.7982,5299.4751,0.0071
44.6709,10.7325,1.3739,80.7594,1.9332,57.7346,8425.3364,0.0110
18.8135,18.0271,1.3981,45.1270,4.8826,63.8981,5852.6798,0.0219
25.5640,7.3586,1.5827,58.6734,0.9365,59.2565,4942.9895,0.0261
102.7453,10.7569,5.2404,136.2456,1.4334,64.0771,4623.9632,0.0088
9.9598,3.1932,87.1484,2.7094,0.0000,29.7944,6763.5415,0.0191
54.8470,5.3619,1.0821,137.7334,0.6630,48.4588,2644.7539,0.0164
38.4966,6.3148,1.0324,90.4423,0.7165,68.7702,6042.6313,0.0116
110.5833,2.7159,1.4665,138.2330,0.3172,49.1796,3910.1916,0.0101
37.1785,7.4573,19.4447,83.8310,0.9856,66.8835,3604.9916,0.0116
40.4614,3.7172,1.3285,46.0976,0.3828,65.5091,6356.3625,0.0080
99.3618,2.1446,1.1881,140.7617,0.2140,58.1060,6045.2436,0.0114
42.6089,3.3854,1.1650,98.3196,0.2592,62.2496,4131.2480,0.0211
106.7236,4.7538,8.0010,148.2701,0.2538,45.7010,3633.1318,0.0045
44.7310,7.5269,46.3950,40.3594,0.1914,80.4102,5850.2099,0.0108
46.0956,11.5789,3.4445,63.8003,1.2652,57.8237,5308.4818,0.0151
10.5094,8.3639,1.8810,9.2902,0.1357,68.9188,6499.8782,0.0064
140.4711,3.2194,1.4189,211.1383,0.0927,60.8645,3351.6882,0.0063
63.4882,5.4298,3.2794,130.0191,0.4815,52.2540,3693.4893,0.0114
22.1412,3.4817,1.4831,68.5899,0.3993,55.1919,5127.4924,0.0240
27.6296,7.1209,1.1807,102.1396,0.9470,58.9145,3651.2097,0.0194
27.2468,8.3919,1.4268,73.7595,0.9299,69.9918,6760.9248,0.0149
41.2686,2.5418,1.0158,63.0605,0.2162,56.7678,6150.8970,0.0125
67.4371,11.6193,9.9179,74.3790,1.1897,54.8041,4805.7333,0.0067
43.2356,8.3345,1.0454,101.2956,0.6999,60.0015,5790.7644,0.0158
44.8298,6.7336,1.1889,103.2919,0.7986,60.3407,4017.5033,0.0111
52.7573,13.8461,1.6578,75.4719,3.1053,76.4165,6036.8392,0.0472
50.5116,8.3612,1.0172,119.7376,1.6062,57.2137,3305.9219,0.0094
56.1661,3.5943,1.4947,89.0197,0.4032,63.1395,6028.7939,0.0284
34.4321,4.2325,1.0640,79.4808,0.4528,59.5205,4053.9833,0.0274
67.1341,11.2842,1.7457,62.1107,0.4468,85.0114,7593.3956,0.0146
90.4373,7.1095,3.6249,100.0608,0.7678,57.9412,5732.2638,0.0047
41.6618,17.9163,1.5625,47.7403,8.6494,48.8308,6086.1802,0.0075
38.2570,18.8381,1.5845,40.3334,9.4566,46.9752,5829.6865,0.0017
31.1813,8.7633,1.1215,65.3937,0.8340,52.1770,5357.9229,0.0311
31.3500,18.5472,1.4682,39.0846,9.3557,45.3738,5829.6865,0.0013
42.8577,8.1097,6.0736,68.6860,0.5289,69.3449,5572.4762,0.0207
42.6444,17.5193,1.3983,47.8312,8.3198,48.4243,6081.3234,0.0018
34.3481,18.5610,1.4553,37.0073,9.4963,42.4609,5829.6865,0.0000
64.9237,10.9663,3.1676,159.8341,0.7534,49.6894,4506.5475,0.0087
59.7190,5.3027,1.0879,104.5949,0.4672,66.4571,4210.7740,0.0219
23.6569,8.5945,1.3396,52.0990,0.4385,78.8999,5579.4368,0.0120
42.4321,4.5647,1.1460,39.1238,0.2124,43.2604,5954.3746,0.0176
32.1399,18.8783,1.2584,43.0786,8.9048,40.7100,6081.3234,0.0002
51.5585,10.6401,1.8148,66.1356,0.2305,76.4454,6156.4254,0.0150
81.5738,15.2655,1.9610,124.4865,3.4334,70.9129,4738.1486,0.0044
22.2628,4.5981,1.8389,35.3852,0.1258,85.4710,6165.8659,0.0198
49.8173,13.9075,20.0947,102.3816,3.2260,86.4824,3815.3684,0.0131
94.2552,4.9415,1.0202,139.5901,0.5207,67.3778,5225.2469,0.0148
55.8817,4.8996,1.4498,90.6041,0.4776,50.7970,4148.6408,0.0096
51.7793,5.4118,1.6257,34.7774,0.3210,56.8858,6596.3659,0.0016
35.4182,12.8166,2.9340,87.7690,1.8351,83.6864,5248.5479,0.0111
28.8969,6.6518,20.5994,68.6792,0.4589,79.1400,4105.5342,0.0213
68.7044,5.7921,36.5125,81.5082,0.3458,74.0650,2633.9758,0.0151
51.9244,8.2325,1.5422,121.3106,0.8935,73.1376,3035.1096,0.0204
122.9508,3.9537,1.2527,164.1844,0.3067,32.7170,3590.7346,0.0191
80.3822,18.2289,3.8763,132.1474,3.6920,75.5399,1278.5924,0.0112
